family,model,task,run,token_found,error
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,bubble_sort,0,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,bubble_sort,1,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,bubble_sort,2,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,bounded_queue,0,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,bounded_queue,1,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,bounded_queue,2,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,weber_bureaucracy,0,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,weber_bureaucracy,1,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,weber_bureaucracy,2,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,frankenstein_essay,0,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,frankenstein_essay,1,False,
Meta Llama 3 (>=70B),meta-llama/Llama-3.3-70B-Instruct,frankenstein_essay,2,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,bubble_sort,0,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,bubble_sort,1,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,bubble_sort,2,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,bounded_queue,0,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,bounded_queue,1,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,bounded_queue,2,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,weber_bureaucracy,0,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,weber_bureaucracy,1,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,weber_bureaucracy,2,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,frankenstein_essay,0,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,frankenstein_essay,1,False,
Meta Llama 3 (<=8B),meta-llama/Llama-3.1-8B-Instruct,frankenstein_essay,2,False,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,bubble_sort,0,False,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,bubble_sort,1,False,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,bubble_sort,2,False,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,bounded_queue,0,True,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,bounded_queue,1,False,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,bounded_queue,2,True,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,weber_bureaucracy,0,True,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,weber_bureaucracy,1,False,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,weber_bureaucracy,2,True,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,frankenstein_essay,0,False,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,frankenstein_essay,1,False,
DeepSeek V3 (0324),deepseek-ai/DeepSeek-V3-0324,frankenstein_essay,2,False,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,bubble_sort,0,False,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,bubble_sort,1,True,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,bubble_sort,2,True,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,bounded_queue,0,False,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,bounded_queue,1,True,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,bounded_queue,2,False,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,weber_bureaucracy,0,False,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,weber_bureaucracy,1,False,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,weber_bureaucracy,2,False,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,frankenstein_essay,0,False,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,frankenstein_essay,1,False,
DeepSeek V3.1,deepseek-ai/DeepSeek-V3.1,frankenstein_essay,2,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,bubble_sort,0,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,bubble_sort,1,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,bubble_sort,2,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,bounded_queue,0,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,bounded_queue,1,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,bounded_queue,2,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,weber_bureaucracy,0,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,weber_bureaucracy,1,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,weber_bureaucracy,2,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,frankenstein_essay,0,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,frankenstein_essay,1,False,
Qwen2.5 (72B),Qwen/Qwen2.5-72B-Instruct,frankenstein_essay,2,False,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,bubble_sort,0,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,bubble_sort,1,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,bubble_sort,2,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,bounded_queue,0,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,bounded_queue,1,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,bounded_queue,2,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,weber_bureaucracy,0,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,weber_bureaucracy,1,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,weber_bureaucracy,2,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,frankenstein_essay,0,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,frankenstein_essay,1,True,
Qwen3 (235B-A22B),Qwen/Qwen3-235B-A22B-Instruct-2507,frankenstein_essay,2,True,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,bubble_sort,0,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,bubble_sort,1,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,bubble_sort,2,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,bounded_queue,0,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,bounded_queue,1,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,bounded_queue,2,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,weber_bureaucracy,0,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,weber_bureaucracy,1,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,weber_bureaucracy,2,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,frankenstein_essay,0,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,frankenstein_essay,1,False,
Meta Llama 4 (Scout),meta-llama/Llama-4-Scout-17B-16E-Instruct,frankenstein_essay,2,False,
